claim_id,work_or_claim,authors,canonical_year,doi,evidence_role,audit_finding,audit_status,verification_basis
C01,Inter-market Arbitrage in Betting,Franck; Verbeek; Nüesch,2013,10.1111/ecca.12009,direct surebet evidence,Report labels 2012; final article was published in 2013. The 19.2% quoted-opportunity result is supported.,confirmed_with_year_correction,Publisher/University manuscript
C02,Inter-market Arbitrage in Sports Betting,Franck; Verbeek; Nüesch,2009,,working-paper version,Earlier version of C01; must not count as independent replication.,version_link_only,RePEc working paper
C03,The betting market over time: overround and surebets in European football,Gómez-González; del Corral,2018,10.17811/ebl.7.4.2018.129-136,direct surebet frequency evidence,Supports declining overround and increasing quoted opportunities in its historical European-football sample; not modern execution proof.,confirmed_narrow_scope,Journal article
C04,Profiting from arbitrage and odds biases of the European football gambling market,Constantinou; Fenton,2013,10.5750/jgbe.v7i2.630,direct/cross-book evidence,"Retain, but independently verify sample construction before using profitability claims.",retain_with_replication_caveat,Journal article
C05,How efficient is the European football betting market? Evidence from arbitrage and trading strategies,Vlastakis; Dotsis; Markellos,2009,10.1002/for.1085,direct/cross-book evidence,"Publication year commonly indexed as 2009, while working versions predate it. Preserve version/date provenance.",retain_with_version_provenance,Journal of Forecasting
C06,"New entry, strategic diversity and efficiency in soccer betting markets",Grant; Oikonomidis; Bruce; Johnson,2018,10.1080/1351847X.2018.1443148,direct execution-friction evidence,545 portfolios and roughly half requiring a favourite bet at a position-taking bookmaker are supported; do not rewrite this as exactly half being rejected.,confirmed_with_wording_correction,European Journal of Finance
C08,Asset Pricing and Sports Betting,Moskowitz,2021,10.1111/jofi.13082,supporting limits-to-arbitrage evidence,Not a surebet execution study. Use as market-anomaly/limits-to-arbitrage context only.,reclassified_supporting,Journal of Finance
C09,Beating the bookies with their own numbers,Kaunitz; Zhong; Kreiner,2017,10.48550/arXiv.1710.02824,value/mispricing and restriction evidence,Not pure surebetting and non-peer-reviewed. Account restrictions are relevant operational evidence but not surebet profitability proof.,reclassified_supporting_preprint,arXiv
C17,Systematic Positive Expected Returns in the UK Fixed Odds Betting Market,Buraimo; Peel; Simmons,2013,10.3390/ijfs1040168,value-betting evidence,Report omits Rob Simmons and conflates this with the Grant arbitrage title. It is not a surebet paper.,corrected_and_reclassified,MDPI IJFS
EVIDENCE_SCOPE,Non-football evidence,,,,scope correction,"The report claims no studies outside European football, but its own catalogue includes horse racing, Jai Alai and Super Rugby-related arbitrage work.",claim_rejected,Internal catalogue audit
SPORT_RANKING,Top-five sport ranking,,,,operational inference,Football has direct evidence; NBA/NFL/Tennis/Darts ranking is not academically established as surebet frequency or executable-profit ranking.,retain_as_low_confidence_hypothesis,Prompt 27 must reassess sport ranking
MARGIN_THRESHOLDS,3% observed / 1% post-cost thresholds,,,,heuristic,"No cited paper derives these universal thresholds. They must remain experiment parameters, not canonical minimums.",provisional_only,Requires venue-specific calibration
